Feature,Coefficient,Abs_Coefficient
Points_per_game,1.1811199623824102,1.1811199623824102
ATOI.min,0.9664809883313806,0.9664809883313806
Rookie_Flag,-0.6876776977849703,0.6876776977849703
Team.Rk,0.5881983527281881,0.5881983527281881
PPG,0.34738088151304436,0.34738088151304436
TSA,0.3299103217213279,0.3299103217213279
Shots_per_game,0.2643424453014193,0.2643424453014193
FOW,0.2317245638028781,0.2317245638028781
FO%,0.22124819819704342,0.22124819819704342
EVG,-0.1382787985063065,0.1382787985063065
Age,0.13206458051045764,0.13206458051045764
BLK,0.1204028841437371,0.1204028841437371
Pos_encoded,0.10148421206717881,0.10148421206717881
PIM,-0.09574069472405915,0.09574069472405915
Team_encoded,0.09008098737698172,0.09008098737698172
FOL,-0.07456453057508398,0.07456453057508398
GWG,-0.06652864069337151,0.06652864069337151
HIT,0.05794550861607018,0.05794550861607018
Give_per_game,-0.053860131788410426,0.053860131788410426
Take_per_game,0.03460969306103634,0.03460969306103634
SHG,0.01847590411830948,0.01847590411830948
SPCT,-0.0071140740911638965,0.0071140740911638965
+/-,-0.005388468171111175,0.005388468171111175
