Feature,Coefficient,Abs_Coefficient
Points_per_game,1.1526989211440106,1.1526989211440106
ATOI.min,1.0479756837617762,1.0479756837617762
Rookie_Flag,-0.6358720925248353,0.6358720925248353
Team.Rk,0.5078910946736855,0.5078910946736855
TSA,0.5040337119321847,0.5040337119321847
EVG,-0.31784181975966996,0.31784181975966996
PPG,0.2712125582446053,0.2712125582446053
Age,0.21269097007103266,0.21269097007103266
FO%,0.12639438902200772,0.12639438902200772
HIT,0.11354085720001787,0.11354085720001787
Shots_per_game,0.10604929045151298,0.10604929045151298
+/-,0.0863559231246378,0.0863559231246378
SPCT,0.07746201857840765,0.07746201857840765
Take_per_game,0.058292585074804594,0.058292585074804594
BLK,-0.048169814377043076,0.048169814377043076
FOL,0.046610757246939076,0.046610757246939076
FOW,0.04354438946970155,0.04354438946970155
Team_encoded,0.035282913549811584,0.035282913549811584
PIM,-0.03490879475771195,0.03490879475771195
Give_per_game,-0.02836709213957909,0.02836709213957909
SHG,0.024353860137340436,0.024353860137340436
GWG,-0.021952394437074786,0.021952394437074786
Pos_encoded,0.02072490760065839,0.02072490760065839
